"gene","contrast","logFC","P.Value","adj.P.Val","pi_eq2"
"MB","Cancer_vs_Healthy",-0.288343550572552,0.276499868099924,0.431802075044693,0.690265763541904
"CKM","Cancer_vs_Healthy",-0.0343065617466642,0.872536389026195,0.913507662945686,0.995333192318405
"ALDOA","Cancer_vs_Healthy",0.210495679004921,0.0400491254134706,0.121611972251749,0.507986150879386
"GAPDH","Cancer_vs_Healthy",0.299571962716552,0.0137977765133926,0.0605261007644519,0.277165367360548
"CKB","Cancer_vs_Healthy",0.0768354206542412,0.647942424234899,0.751201423956493,0.967206755648009
"CA3","Cancer_vs_Healthy",0.31010320518244,0.222401326997307,0.374767246612677,0.627401000903665
"FHL1","Cancer_vs_Healthy",-0.442253076890214,0.00942565831006651,0.0467979076508045,0.12709636009615
"ACTA1","Cancer_vs_Healthy",0.259872526826545,0.559201933897999,0.688424466680154,0.859805128107866
"ENO1","Cancer_vs_Healthy",0.497233185983834,0.0698268094367065,0.175121779382636,0.266200872647271
"ENO3","Cancer_vs_Healthy",-0.390825462326958,0.104664081084088,0.227055051577012,0.413915766235603
"ACTB","Cancer_vs_Healthy",1.45934123081212,0.0089056351800145,0.0463169967893627,0.00101826649023167
"PRDX2","Cancer_vs_Healthy",1.99706666866737,0.00031359127420318,0.00528061390406474,1.00694387580872e-07
"PKM","Cancer_vs_Healthy",-0.168178409992599,0.167438194601901,0.310631527171675,0.740404567752966
"TPI1","Cancer_vs_Healthy",-0.0589360341626879,0.589190090821724,0.706580232407207,0.969303467658398
"ENO2","Cancer_vs_Healthy",0.171774214102616,0.452842174638037,0.601999145057856,0.872771474716605
"PGAM1","Cancer_vs_Healthy",0.603431921403082,0.00283649983342094,0.0221045035562383,0.0290353996460345
"CASQ1","Cancer_vs_Healthy",-0.152727923291721,0.30226463236037,0.456057842305836,0.832991628076415
"PGK1","Cancer_vs_Healthy",0.331646759911333,0.00929915400190727,0.0466277399863915,0.211953625341635
"HSPB1","Cancer_vs_Healthy",-0.0429971332762804,0.81119275121795,0.873679278348926,0.99104322091441
"MYL1","Cancer_vs_Healthy",-0.538856486861249,0.174480157990744,0.319261565685191,0.390310233458981
"PYGM","Cancer_vs_Healthy",-0.429268196430268,0.116001436724079,0.241636210753963,0.396646729173907
"CRYAB","Cancer_vs_Healthy",-0.00279467443192161,0.989112595099305,0.992409637082969,0.999969406869568
"LDHA","Cancer_vs_Healthy",0.0804412779214871,0.694369882590004,0.784513472569581,0.971085272380543
"MYL2","Cancer_vs_Healthy",0.00509613063541536,0.987599162036496,0.992131323397532,0.999936410618273
"AK1","Cancer_vs_Healthy",0.0573308629639229,0.694594154285027,0.784513472569581,0.979323799295915
"FABP4","Cancer_vs_Healthy",2.4376162108068,0.00128298868014795,0.0136700740787445,8.93217203785115e-08
"FABP3","Cancer_vs_Healthy",-0.246284636824061,0.425848248594393,0.579477565291663,0.81038458094593
"ATP2A1","Cancer_vs_Healthy",-0.336866899005358,0.251759665472674,0.407786332307915,0.628365110038268
"CA2","Cancer_vs_Healthy",1.86177563255216,0.00014907064106002,0.00351923631051516,7.51129280572759e-08
"MDH1","Cancer_vs_Healthy",-0.00430206096289965,0.972308335226727,0.985403396980622,0.999879195498552
"MYH7","Cancer_vs_Healthy",-0.789953073148514,0.145286208993786,0.281229253422056,0.217869573693968
"PGAM2","Cancer_vs_Healthy",0.00971340456662872,0.959955255577421,0.976583124389704,0.999603105495054
