"contrast","database","pathway","NES","padj","size"
"Training_Young","GO_BP","mitochondrial electron transport, NADH to ubiquinone",-2.72503032121603,2.58352941176471e-08,39
"Training_Young","GO_BP","proton motive force-driven mitochondrial ATP synthesis",-2.61022091990936,2.58352941176471e-08,60
"Training_Young","GO_BP","proton transmembrane transport",-2.51306403267091,2.58352941176471e-08,85
"Training_Young","GO_BP","ribose phosphate biosynthetic process",-2.18276218174414,1.56430220079275e-06,93
"Training_Young","GO_BP","protein folding",2.12551073497601,1.50756937385808e-05,90
"Training_Young","GO_BP","regulation of chromosome organization",2.08121433416876,0.0002597153402842,39
"Training_Young","GO_BP","tRNA aminoacylation for protein translation",2.0698681851237,0.000992326765306926,28
"Training_Young","GO_BP","tRNA aminoacylation",2.0698681851237,0.000992326765306926,28
"Training_Young","GO_BP","ATP metabolic process",-2.06686121342873,1.50756937385808e-05,117
"Training_Young","GO_BP","mitochondrial respiratory chain complex assembly",-2.05013408318728,0.00291292928423429,38
"Training_Young","GO_BP","regulation of telomere maintenance via telomerase",2.00536029498749,0.000912267085829402,13
"Training_Young","GO_BP","mitotic spindle assembly checkpoint signaling",1.98287982232943,0.000722728603022948,9
"Training_Young","GO_BP","negative regulation of chromosome segregation",1.98287982232943,0.000722728603022948,9
"Training_Young","GO_BP","spindle assembly checkpoint signaling",1.98287982232943,0.000722728603022948,9
"Training_Young","GO_BP","mitotic spindle checkpoint signaling",1.98287982232943,0.000722728603022948,9
"Training_Young","GO_BP","negative regulation of metaphase/anaphase transition of cell cycle",1.98287982232943,0.000722728603022948,9
"Training_Young","GO_BP","negative regulation of chromosome separation",1.98287982232943,0.000722728603022948,9
"Training_Young","GO_BP","negative regulation of mitotic nuclear division",1.98084569271454,0.000307672754200666,10
"Training_Young","GO_BP","negative regulation of nuclear division",1.98084569271454,0.000307672754200666,10
"Training_Young","GO_BP","positive regulation of protein localization to nucleus",1.97958340494699,0.00556071661125509,24
"Training_Young","GO_BP","telomerase RNA localization to Cajal body",1.95321703965009,0.00178666201835517,9
"Training_Young","GO_BP","telomerase RNA localization",1.95321703965009,0.00178666201835517,9
"Training_Young","GO_BP","response to heat",1.9531940520411,0.0049922874782773,30
"Training_Young","GO_BP","epithelial cell development",1.95313370018497,0.0251962620156217,16
"Training_Young","GO_BP","cellular response to type I interferon",1.92170207901691,0.0080717340914931,40
"Training_Young","GO_BP","muscle tissue morphogenesis",-1.9198112399911,0.0114602429097429,11
"Training_Young","GO_BP","chromosome separation",1.91396551449355,0.00615145346243457,12
"Training_Young","GO_BP","regulation of protein stability",1.89686245979238,0.00226350347423886,82
"Training_Young","GO_BP","positive regulation of cell cycle process",1.88352337874741,0.0114602429097429,23
"Training_Young","GO_BP","basement membrane organization",-1.8524652093644,0.0362215740878264,10
"Training_Young","GO_BP","spindle organization",1.8413703799921,0.0362215740878264,41
"Training_Young","GO_BP","establishment of cell polarity",1.82441277833995,0.0362215740878264,21
"Training_Young","GO_BP","axo-dendritic transport",1.81545698851751,0.0398068672861272,15
"Training_Young","GO_BP","heterochromatin formation",-1.80532295026501,0.0398068672861272,16
"Training_Young","GO_BP","regulation of protein catabolic process",1.8032581214953,0.00138057626542889,112
"Training_Young","GO_BP","mammary gland development",-1.79623707261734,0.0282920492399418,8
"Training_Young","GO_BP","regulation of protein-containing complex assembly",1.79506387071303,0.00505136767356053,84
"Training_Young","GO_BP","protein tetramerization",1.78300791654802,0.0442686006078435,25
"Training_Young","GO_BP","establishment of spindle localization",1.77807377255108,0.0538095177721915,12
"Training_Young","GO_BP","spindle localization",1.77807377255108,0.0538095177721915,12
"Training_Young","GO_BP","chromosome segregation",1.7777041540991,0.0170774619619413,55
"Training_Young","GO_BP","regulation of cell cycle phase transition",1.77628840525585,0.0195335549028596,54
"Training_Young","GO_BP","receptor recycling",1.77418005678509,0.0283377015369123,8
"Training_Young","GO_BP","heterochromatin organization",-1.77047917044251,0.0902114934183419,18
"Training_Young","GO_BP","negative regulation of Wnt signaling pathway",-1.76985854606549,0.100587941256739,10
"Training_Young","GO_BP","mitotic cell cycle phase transition",1.76104485680835,0.0333873503968327,60
"Training_Young","GO_BP","establishment of organelle localization",1.75475148151085,0.0272883996880737,67
"Training_Young","GO_BP","endoplasmic reticulum to Golgi vesicle-mediated transport",1.7494436791081,0.0629352171094752,40
"Training_Young","GO_BP","epigenetic regulation of gene expression",-1.7345091199782,0.066294229313604,27
"Training_Young","GO_BP","protein localization to nucleus",1.73446537645533,0.0279407545386055,65
"Training_Young","GO_BP","cortical cytoskeleton organization",1.73442330548096,0.0993612896918786,14
"Training_Young","GO_BP","regulation of striated muscle cell apoptotic process",1.73200391374399,0.107507342977323,9
"Training_Young","GO_BP","organelle fission",1.72865228250976,0.0464703187653014,60
"Training_Young","GO_BP","motile cilium assembly",-1.72809159521954,0.0719701589398264,5
"Training_Young","GO_BP","regulation of proteasomal protein catabolic process",1.72610687822263,0.0172823443545077,79
"Training_Young","GO_BP","positive regulation of intracellular transport",1.72286778324037,0.121817423923479,41
"Training_Young","GO_BP","protein sumoylation",-1.72078409663399,0.0902114934183419,9
"Training_Young","GO_BP","positive regulation of reactive oxygen species metabolic process",1.71993017226822,0.181372934960064,18
"Training_Young","GO_BP","interleukin-2 production",1.71138766233746,0.124932936800207,15
"Training_Young","GO_BP","regulation of interleukin-2 production",1.71138766233746,0.124932936800207,15
"Training_Young","GO_BP","long-chain fatty acid import into cell",1.71121835267276,0.0817922262769406,7
"Training_Young","GO_BP","proteasomal ubiquitin-independent protein catabolic process",1.70730977268348,0.127217960971528,15
"Training_Young","GO_BP","relaxation of cardiac muscle",1.6913827483664,0.16915455077551,9
"Training_Young","GO_BP","nucleosome assembly",-1.68940649399552,0.163308327063255,11
"Training_Young","GO_BP","nucleosome organization",-1.68940649399552,0.163308327063255,11
"Training_Young","GO_BP","lymphocyte homeostasis",1.68592681979726,0.154233103099868,14
"Training_Young","GO_BP","cellular response to glucose starvation",1.67985979943428,0.157329278222767,11
"Training_Young","GO_BP","negative regulation of T cell receptor signaling pathway",1.66959412731323,0.0401398591439755,5
"Training_Young","GO_BP","striated muscle cell apoptotic process",1.66862689217665,0.0883598594611115,10
"Training_Young","GO_BP","response to unfolded protein",1.66494536801212,0.124932936800207,40
"Training_Young","GO_BP","inflammatory response to antigenic stimulus",-1.66142729397029,0.19961343193653,11
"Training_Young","GO_BP","positive regulation of muscle cell differentiation",-1.65681602284171,0.206023987070815,8
"Training_Young","GO_BP","regulation of adenylate cyclase activity",-1.65408193764232,0.184107883081613,5
"Training_Young","GO_BP","skeletal system development",-1.65404722356505,0.120113010232646,31
"Training_Young","GO_BP","protein import into nucleus",1.65349431451293,0.173339610071286,34
"Training_Young","GO_BP","microtubule-based movement",1.65095303040897,0.0435777794491422,59
"Training_Young","GO_BP","clathrin-dependent endocytosis",1.64977088215381,0.162723773343248,8
"Training_Young","GO_BP","in utero embryonic development",-1.63520611871471,0.225999989292671,5
"Training_Young","GO_BP","protein-DNA complex assembly",-1.63122851870321,0.18168436062217,14
"Training_Young","GO_BP","protein deubiquitination",1.62845125855841,0.205770841283174,19
"Training_Young","GO_BP","indole-containing compound metabolic process",-1.62757808218163,0.239933583059191,5
"Training_Young","GO_BP","lysosome localization",1.626172716973,0.205770841283174,8
"Training_Young","GO_BP","vacuolar localization",1.626172716973,0.205770841283174,8
"Training_Young","GO_BP","regulation of biological process involved in symbiotic interaction",-1.62467984643756,0.2435738550715,8
"Training_Young","GO_BP","establishment or maintenance of apical/basal cell polarity",1.6194416284459,0.209037221901671,8
"Training_Young","GO_BP","protein-DNA complex organization",-1.6178555668567,0.206023987070815,15
"Training_Young","GO_BP","spliceosomal tri-snRNP complex assembly",-1.61553184022546,0.0864289078355337,4
"Training_Young","GO_BP","regulation of receptor recycling",1.61543525617521,0.0991390219272389,5
"Training_Young","GO_BP","positive regulation of cellular component biogenesis",1.61487413571932,0.0800831678703888,85
"Training_Young","GO_BP","cardiac muscle hypertrophy",1.60842071289907,0.221953295961322,17
"Training_Young","GO_BP","cardiac ventricle morphogenesis",-1.60366167429285,0.173548715230232,7
"Training_Young","GO_BP","regulation of insulin secretion involved in cellular response to glucose stimulus",-1.6032825989558,0.202845481926885,14
"Training_Young","GO_BP","male gonad development",1.60001948086649,0.0180838087590794,4
"Training_Young","GO_BP","ventricular cardiac muscle tissue development",-1.59983330943366,0.209037221901671,6
"Training_Young","GO_BP","chondrocyte differentiation",-1.59980401840728,0.209037221901671,6
"Training_Young","GO_BP","T cell differentiation in thymus",1.59174956872603,0.246973936611554,14
"Training_Young","GO_BP","mitochondrial transmembrane transport",-1.59056580047195,0.330854768214616,10
"Training_Young","GO_BP","regulation of microtubule-based process",1.58885854577016,0.181372934960064,45
"Training_Young","GO_BP","positive regulation of endocytosis",1.5871073506806,0.246973936611554,26
"Training_Young","GO_BP","secondary metabolic process",1.58708798197783,0.205770841283174,10
"Training_Young","GO_BP","amine catabolic process",-1.58311569265874,0.205770841283174,7
"Training_Young","GO_BP","skeletal muscle contraction",-1.5814076324588,0.2435738550715,29
"Training_Young","GO_BP","polyol metabolic process",-1.58053755162097,0.235397805957953,19
"Training_Young","GO_BP","organelle disassembly",1.57641652373824,0.322473166851857,22
"Training_Young","GO_BP","digestive system process",1.56795404661492,0.218498648384935,10
"Training_Young","GO_BP","musculoskeletal movement",-1.56634570581843,0.288680806471048,30
"Training_Young","GO_BP","amino-acid betaine metabolic process",-1.56484970689404,0.376037385716067,10
"Training_Young","GO_BP","regulation of carbohydrate metabolic process",1.56458727314983,0.2435738550715,31
"Training_Young","GO_BP","artery morphogenesis",-1.5605204461033,0.0629352171094752,3
"Training_Young","GO_BP","T cell costimulation",-1.55812269159126,0.0664878253379751,3
"Training_Young","GO_BP","adenylate cyclase-activating adrenergic receptor signaling pathway",-1.55789873581853,0.0664878253379751,3
"Training_Young","GO_BP","protein localization to cell junction",1.55744675484708,0.439970815324588,16
"Training_Young","GO_BP","DNA damage tolerance",-1.5544471194222,0.366523356590763,5
"Training_Young","GO_BP","lipid droplet organization",1.54822511125103,0.410146315616348,9
"Training_Young","GO_BP","CD8-positive, alpha-beta T cell differentiation",1.54702849236279,0.336372276340377,11
"Training_Young","GO_BP","negative regulation of regulatory T cell differentiation",1.54702849236279,0.336372276340377,11
"Training_Young","GO_BP","CD8-positive, alpha-beta T cell homeostasis",1.54702849236279,0.336372276340377,11
"Training_Young","GO_BP","negative regulation of fibroblast proliferation",-1.5461090177792,0.0883598594611115,3
"Training_Young","GO_BP","sensory perception of sound",-1.54556712442694,0.462998102466793,12
"Training_Young","GO_BP","telomere organization",1.54444511989096,0.304170249607966,32
"Training_Young","GO_BP","regulation of cell shape",1.54428776858501,0.36679437401083,20
"Training_Young","GO_BP","digestion",1.53585653876105,0.436306415850082,11
"Training_Young","GO_BP","actin nucleation",1.53325019157384,0.42596567590623,13
"Training_Young","GO_BP","lamellipodium assembly",1.53249601620053,0.335546295633601,14
"Training_Young","GO_BP","TORC2 signaling",1.53212093285683,0.0817922262769406,3
"Training_Young","GO_BP","camera-type eye development",-1.53175161496305,0.247462230170831,27
"Training_Young","GO_BP","postsynapse assembly",-1.5302814671813,0.40108519652124,8
"Training_Young","GO_BP","regulation of lamellipodium assembly",1.52924164151033,0.429043653761619,9
"Training_Young","GO_BP","sensory perception of smell",-1.52869908146335,0.134329750493253,3
"Training_Young","GO_BP","regulation of myoblast differentiation",1.52785274924109,0.36679437401083,8
"Training_Young","GO_BP","calcium import into the mitochondrion",-1.52568713777108,0.40108519652124,6
"Training_Young","GO_BP","positive regulation of lamellipodium organization",1.5249315323396,0.43892836292393,9
"Training_Young","GO_BP","chromosome localization",1.52290670559359,0.410146315616348,22
"Training_Young","GO_BP","mitochondrion organization",-1.52097739068466,0.0398068672861272,127
"Training_Young","GO_BP","muscle filament sliding",-1.52091878336847,0.392822318061169,13
"Training_Young","GO_BP","actin-myosin filament sliding",-1.52091878336847,0.392822318061169,13
"Training_Young","GO_BP","response to hyperoxia",-1.52001456961086,0.405841370481401,6
"Training_Young","GO_BP","cell cycle G1/S phase transition",1.51859339517036,0.2435738550715,39
"Training_Young","GO_BP","positive regulation of cytosolic calcium ion concentration",-1.51549321354306,0.392708748263202,9
"Training_Young","GO_BP","protein activation cascade",1.51433615558118,0.287684198196618,5
"Training_Young","GO_BP","COPII vesicle coating",1.51365305912848,0.451950425401425,8
"Training_Young","GO_BP","multicellular organismal response to stress",1.51246820508772,0.287684198196618,5
"Training_Young","GO_BP","vasodilation",-1.51233678890984,0.410146315616348,6
